"","Pop","Model","Metric","Estimate","SE"
"p_loo.417","fairfax","m4a","p_loo",9.908732053449,5.53900164875988
"looic.417","fairfax","m4a","looic",42.313470322714,15.0998272188905
"elpd_loo.517","fairfax","m4b","elpd_loo",-20.979027085712,7.5555624365283
"p_loo.517","fairfax","m4b","p_loo",9.65986831942562,5.5398833339941
"looic.517","fairfax","m4b","looic",41.9580541714239,15.1111248730566
"elpd_loo18","fred-wright","m1","elpd_loo",-14.7205739225189,2.89103116531251
"p_loo18","fred-wright","m1","p_loo",4.66858396750072,1.60888326237702
"looic18","fred-wright","m1","looic",29.4411478450377,5.78206233062501
"elpd_loo.118","fred-wright","m2a","elpd_loo",-14.7129079132517,3.21173777489827
"p_loo.118","fred-wright","m2a","p_loo",2.51126340656696,0.980937516389148
"looic.118","fred-wright","m2a","looic",29.4258158265035,6.42347554979655
"elpd_loo.218","fred-wright","m2b","elpd_loo",-14.4713015535015,3.11291004670539
"p_loo.218","fred-wright","m2b","p_loo",2.67422456667374,1.06678193663004
"looic.218","fred-wright","m2b","looic",28.942603107003,6.22582009341078
"elpd_loo.318","fred-wright","m3","elpd_loo",-14.6850141073967,3.32246047432201
"p_loo.318","fred-wright","m3","p_loo",4.97311525621872,1.90603877928686
"looic.318","fred-wright","m3","looic",29.3700282147934,6.64492094864403
"elpd_loo.418","fred-wright","m4a","elpd_loo",-13.6953922197185,2.96330443902527
"p_loo.418","fred-wright","m4a","p_loo",2.76869801019492,1.0534644110148
"looic.418","fred-wright","m4a","looic",27.390784439437,5.92660887805054
"elpd_loo.518","fred-wright","m4b","elpd_loo",-13.4770478887852,2.88073510622357
"p_loo.518","fred-wright","m4b","p_loo",2.83384533405747,1.09523074563004
"looic.518","fred-wright","m4b","looic",26.9540957775704,5.76147021244713
"elpd_loo19","freeda-lakes","m1","elpd_loo",-10.0421320845841,0.884519622361629
"p_loo19","freeda-lakes","m1","p_loo",1.89011655304041,0.491763224467536
"looic19","freeda-lakes","m1","looic",20.0842641691682,1.76903924472326
"elpd_loo.119","freeda-lakes","m2a","elpd_loo",-9.30709285928133,1.13283459007816
"p_loo.119","freeda-lakes","m2a","p_loo",1.77361563859296,0.754978746207294
"looic.119","freeda-lakes","m2a","looic",18.6141857185627,2.26566918015631
"elpd_loo.219","freeda-lakes","m2b","elpd_loo",-9.38803262133716,1.19058407306398
"p_loo.219","freeda-lakes","m2b","p_loo",1.84628762448908,0.808340331897971
"looic.219","freeda-lakes","m2b","looic",18.7760652426743,2.38116814612795
"elpd_loo.319","freeda-lakes","m3","elpd_loo",-10.4741755050405,1.12761210972575
"p_loo.319","freeda-lakes","m3","p_loo",1.57862292034952,0.412975325512386
"looic.319","freeda-lakes","m3","looic",20.9483510100811,2.25522421945151
"elpd_loo.419","freeda-lakes","m4a","elpd_loo",-9.93129975671212,1.47929207891818
"p_loo.419","freeda-lakes","m4a","p_loo",1.56298907892657,0.605943025511628
"looic.419","freeda-lakes","m4a","looic",19.8625995134242,2.95858415783635
"elpd_loo.519","freeda-lakes","m4b","elpd_loo",-9.92620048142654,1.46783381751737
"p_loo.519","freeda-lakes","m4b","p_loo",1.55067012241699,0.607951678700425
"looic.519","freeda-lakes","m4b","looic",19.8524009628531,2.93566763503473
"elpd_loo20","hartley-bay","m1","elpd_loo",-36.1231853864757,19.7536567427848
"p_loo20","hartley-bay","m1","p_loo",24.6179459074376,15.0276123578293
"looic20","hartley-bay","m1","looic",72.2463707729515,39.5073134855697
"elpd_loo.120","hartley-bay","m2a","elpd_loo",-26.520277573473,14.7114893060986
"p_loo.120","hartley-bay","m2a","p_loo",17.34245535808,11.6678421946653
"looic.120","hartley-bay","m2a","looic",53.040555146946,29.4229786121971
"elpd_loo.220","hartley-bay","m2b","elpd_loo",-27.6188276563843,16.3002147225979
"p_loo.220","hartley-bay","m2b","p_loo",18.4392521891038,13.3105181496682
"looic.220","hartley-bay","m2b","looic",55.2376553127685,32.6004294451958
"elpd_loo.320","hartley-bay","m3","elpd_loo",-40.3895413382785,22.6845969282808
"p_loo.320","hartley-bay","m3","p_loo",28.6456654862546,17.8616370883475
"looic.320","hartley-bay","m3","looic",80.7790826765569,45.3691938565615
"elpd_loo.420","hartley-bay","m4a","elpd_loo",-27.5355667069877,15.7106573998786
"p_loo.420","hartley-bay","m4a","p_loo",18.4610999589094,12.455678904592
"looic.420","hartley-bay","m4a","looic",55.0711334139754,31.4213147997572
"elpd_loo.520","hartley-bay","m4b","elpd_loo",-25.5256561400283,13.8429966429286
"p_loo.520","hartley-bay","m4b","p_loo",16.3718453703495,10.493214925765
"looic.520","hartley-bay","m4b","looic",51.0513122800566,27.6859932858572
"elpd_loo21","hauyat","m1","elpd_loo",-23.446845674067,6.28919588086543
"p_loo21","hauyat","m1","p_loo",6.85592324542083,3.87886178429447
"looic21","hauyat","m1","looic",46.8936913481341,12.5783917617309
"elpd_loo.121","hauyat","m2a","elpd_loo",-21.9213861922695,5.75674067575759
"p_loo.121","hauyat","m2a","p_loo",4.59558325263426,2.32629211179136
"looic.121","hauyat","m2a","looic",43.8427723845391,11.5134813515152
"elpd_loo.221","hauyat","m2b","elpd_loo",-21.328397746969,5.46948573303511
"p_loo.221","hauyat","m2b","p_loo",4.09806669802033,2.05990808421139
"looic.221","hauyat","m2b","looic",42.656795493938,10.9389714660702
"elpd_loo.321","hauyat","m3","elpd_loo",-23.2205591919687,6.47161509591412
"p_loo.321","hauyat","m3","p_loo",6.40885671170482,3.60079789612329
"looic.321","hauyat","m3","looic",46.4411183839375,12.9432301918282
"elpd_loo.421","hauyat","m4a","elpd_loo",-22.4318208002116,6.42994850766837
"p_loo.421","hauyat","m4a","p_loo",5.04861377148427,2.82288909680978
"looic.421","hauyat","m4a","looic",44.8636416004231,12.8598970153367
"elpd_loo.521","hauyat","m4b","elpd_loo",-22.1011939869852,6.2453228066003
"p_loo.521","hauyat","m4b","p_loo",4.79618838984583,2.63477149587701
"looic.521","hauyat","m4b","looic",44.2023879739704,12.4906456132006
"elpd_loo22","johanson","m1","elpd_loo",-51.455205228081,31.5109927687051
"p_loo22","johanson","m1","p_loo",47.1342251701707,31.6158822709837
"looic22","johanson","m1","looic",102.910410456162,63.0219855374102
"elpd_loo.122","johanson","m2a","elpd_loo",-7.62791526742226,1.61122999267731
"p_loo.122","johanson","m2a","p_loo",3.44500479581398,1.18213830954542
"looic.122","johanson","m2a","looic",15.2558305348445,3.22245998535462
"elpd_loo.222","johanson","m2b","elpd_loo",-9.83047886174399,2.75894203507315
"p_loo.222","johanson","m2b","p_loo",5.5135972242972,2.18115413180985
"looic.222","johanson","m2b","looic",19.660957723488,5.51788407014629
"elpd_loo.322","johanson","m3","elpd_loo",-25.5630356012296,6.95381728935444
"p_loo.322","johanson","m3","p_loo",21.4383609359273,6.63147525777253
"looic.322","johanson","m3","looic",51.1260712024592,13.9076345787089
"elpd_loo.422","johanson","m4a","elpd_loo",-6.81200544524741,2.07648448399306
"p_loo.422","johanson","m4a","p_loo",3.02967878545601,1.57282961335647
"looic.422","johanson","m4a","looic",13.6240108904948,4.15296896798612
"elpd_loo.522","johanson","m4b","elpd_loo",-7.56562613752934,2.19970019699824
"p_loo.522","johanson","m4b","p_loo",3.69859337996201,1.55067376658079
"looic.522","johanson","m4b","looic",15.1312522750587,4.39940039399647
"elpd_loo23","johnston","m1","elpd_loo",-8.53700745673341,0.61579805000263
"p_loo23","johnston","m1","p_loo",1.11066093589967,0.392139066714305
"looic23","johnston","m1","looic",17.0740149134668,1.23159610000526
"elpd_loo.123","johnston","m2a","elpd_loo",-8.01989531335597,1.82120836197988
"p_loo.123","johnston","m2a","p_loo",1.8580834199385,1.26419980979354
"looic.123","johnston","m2a","looic",16.0397906267119,3.64241672395976
"elpd_loo.223","johnston","m2b","elpd_loo",-7.97838593989975,1.79722949434534
"p_loo.223","johnston","m2b","p_loo",1.80689077124312,1.23897140685487
"looic.223","johnston","m2b","looic",15.9567718797995,3.59445898869067
"elpd_loo.323","johnston","m3","elpd_loo",-8.22374945762703,0.529076674889893
"p_loo.323","johnston","m3","p_loo",0.941960165539935,0.268944201940756
"looic.323","johnston","m3","looic",16.4474989152541,1.05815334977979
"elpd_loo.423","johnston","m4a","elpd_loo",-7.69956739746744,1.48607138898488
"p_loo.423","johnston","m4a","p_loo",1.65285403175784,1.00780784545441
"looic.423","johnston","m4a","looic",15.3991347949349,2.97214277796977
"elpd_loo.523","johnston","m4b","elpd_loo",-7.88268080177798,1.61174041003279
"p_loo.523","johnston","m4b","p_loo",1.81221887441634,1.14918129699881
"looic.523","johnston","m4b","looic",15.765361603556,3.22348082006557
"elpd_loo24","kadjusdis","m1","elpd_loo",-29.3505059635726,7.03483501981494
"p_loo24","kadjusdis","m1","p_loo",9.95519866194281,3.34424072347991
"looic24","kadjusdis","m1","looic",58.7010119271452,14.0696700396299
"elpd_loo.124","kadjusdis","m2a","elpd_loo",-23.4535203430204,4.47711380563249
"p_loo.124","kadjusdis","m2a","p_loo",4.64189795322289,1.42771251918392
"looic.124","kadjusdis","m2a","looic",46.9070406860408,8.95422761126497
"elpd_loo.224","kadjusdis","m2b","elpd_loo",-23.388804998104,4.47292612149181
"p_loo.224","kadjusdis","m2b","p_loo",4.56109347371024,1.50879342275766
"looic.224","kadjusdis","m2b","looic",46.777609996208,8.94585224298361
"elpd_loo.324","kadjusdis","m3","elpd_loo",-29.0560895186209,7.39909038650384
"p_loo.324","kadjusdis","m3","p_loo",9.18370301848948,3.25536810468684
"looic.324","kadjusdis","m3","looic",58.1121790372418,14.7981807730077
"elpd_loo.424","kadjusdis","m4a","elpd_loo",-24.3936830676522,5.41754495258111
"p_loo.424","kadjusdis","m4a","p_loo",5.90385764686758,2.08024008703233
"looic.424","kadjusdis","m4a","looic",48.7873661353044,10.8350899051622
"elpd_loo.524","kadjusdis","m4b","elpd_loo",-24.2930547089317,5.40657321201102
"p_loo.524","kadjusdis","m4b","p_loo",5.90556565711653,2.10687373242284
"looic.524","kadjusdis","m4b","looic",48.5861094178634,10.813146424022
"elpd_loo25","kainet","m1","elpd_loo",-28.1881892749207,5.61234281249708
"p_loo25","kainet","m1","p_loo",6.05374593646336,2.55010964151782
"looic25","kainet","m1","looic",56.3763785498414,11.2246856249942
"elpd_loo.125","kainet","m2a","elpd_loo",-26.8815682912953,3.7732123792726
