"","Pop","Model","Weight"
"m4a54","port-john","m4a","2.0248528731146e-06"
"m4b54","port-john","m4b","0.999990784450401"
"m155","price","m1","1.82312467234865e-07"
"m2a55","price","m2a","0.656650875438941"
"m2b55","price","m2b","1.69876947910101e-06"
"m355","price","m3","8.51309693508038e-07"
"m4a55","price","m4a","0.343345152907706"
"m4b55","price","m4b","1.23926171369249e-06"
"m156","prudhomme","m1","2.15735686477665e-07"
"m2a56","prudhomme","m2a","6.95544216105391e-07"
"m2b56","prudhomme","m2b","1.89034370611047e-05"
"m356","prudhomme","m3","8.01382978552471e-07"
"m4a56","prudhomme","m4a","0.0467217668743784"
"m4b56","prudhomme","m4b","0.953257617025679"
"m157","shawaltan","m1","9.03283531704086e-10"
"m2a57","shawaltan","m2a","3.09942749409062e-07"
"m2b57","shawaltan","m2b","3.51045629874253e-07"
"m357","shawaltan","m3","3.49366703491277e-07"
"m4a57","shawaltan","m4a","0.999995202228813"
"m4b57","shawaltan","m4b","3.78651282073594e-06"
"m158","sheneeza","m1","2.93428244402218e-07"
"m2a58","sheneeza","m2a","1.09793355482252e-05"
"m2b58","sheneeza","m2b","0.987996240971989"
"m358","sheneeza","m3","0.000132661648406783"
"m4a58","sheneeza","m4a","0.010542218703766"
"m4b58","sheneeza","m4b","0.00131760591204544"
"m159","skidegate","m1","3.387310522489e-08"
"m2a59","skidegate","m2a","1.00243179047097e-05"
"m2b59","skidegate","m2b","2.70360198998782e-05"
"m359","skidegate","m3","3.1563212778919e-07"
"m4a59","skidegate","m4a","0.00120413922561009"
"m4b59","skidegate","m4b","0.998758450931352"
"m160","slamgeesh","m1","3.25476238693206e-08"
"m2a60","slamgeesh","m2a","1.71279432892819e-08"
"m2b60","slamgeesh","m2b","5.38246156347429e-07"
"m360","slamgeesh","m3","8.78125118225354e-08"
"m4a60","slamgeesh","m4a","0.999990430997766"
"m4b60","slamgeesh","m4b","8.8932679991327e-06"
"m161","stephens","m1","6.69605633064871e-09"
"m2a61","stephens","m2a","0.999995845680417"
"m2b61","stephens","m2b","1.0347784733378e-06"
"m361","stephens","m3","1.51493276481491e-07"
"m4a61","stephens","m4a","2.03856696597213e-06"
"m4b61","stephens","m4b","9.2278481100827e-07"
"m162","sustut","m1","0.00151104768578329"
"m2a62","sustut","m2a","0.301548771961087"
"m2b62","sustut","m2b","0.696923104109778"
"m362","sustut","m3","1.68905063469425e-05"
"m4a62","sustut","m4a","1.806670878961e-07"
"m4b62","sustut","m4b","5.06991670867762e-09"
"m163","swan","m1","1.35107998535356e-07"
"m2a63","swan","m2a","0.999755843478266"
"m2b63","swan","m2b","1.23448789731782e-05"
"m363","swan","m3","9.15203250741738e-09"
"m4a63","swan","m4a","0.00022982753122001"
"m4b63","swan","m4b","1.8398515093665e-06"
"m164","tankeeah","m1","1.88830977302391e-07"
"m2a64","tankeeah","m2a","1.33681862139788e-05"
"m2b64","tankeeah","m2b","0.298855592531362"
"m364","tankeeah","m3","3.06221941943612e-09"
"m4a64","tankeeah","m4a","0.701119430701435"
"m4b64","tankeeah","m4b","1.14166877920319e-05"
"m165","tuno-east","m1","7.22876642824063e-07"
"m2a65","tuno-east","m2a","7.41408519659822e-07"
"m2b65","tuno-east","m2b","0.999971075407672"
"m365","tuno-east","m3","1.24777893485391e-07"
"m4a65","tuno-east","m4a","2.4778761133387e-05"
"m4b65","tuno-east","m4b","2.55676813831762e-06"
"m166","tuno-west","m1","3.54628046650615e-08"
"m2a66","tuno-west","m2a","6.36266538760171e-06"
