"Weight","Model","Pop"
0.999986337417804,"m1","swan"
1.29872727676433e-05,"m2a","swan"
2.04905497585711e-08,"m2b","swan"
2.45126016014968e-08,"m3","swan"
6.18044338673485e-07,"m4a","swan"
1.22619382425526e-08,"m4b","swan"
2.53388323732782e-09,"m1","tankeeah"
1.16816572610181e-08,"m2a","tankeeah"
1.05957877797563e-08,"m2b","tankeeah"
8.73319865545282e-09,"m3","tankeeah"
0.082422377161486,"m4a","tankeeah"
0.917577589293987,"m4b","tankeeah"
1.2303655290629e-10,"m1","tuno-east"
7.15713334012831e-07,"m2a","tuno-east"
0.391737932509679,"m2b","tuno-east"
7.01078957869291e-11,"m3","tuno-east"
1.26306521980907e-06,"m4a","tuno-east"
0.608260088518623,"m4b","tuno-east"
8.72513924221668e-08,"m1","tuno-west"
9.70281739917137e-06,"m2a","tuno-west"
0.526588852664578,"m2b","tuno-west"
2.23931456621039e-10,"m3","tuno-west"
5.28291045981353e-06,"m4a","tuno-west"
0.47339607413224,"m4b","tuno-west"
2.91369302312284e-12,"m1","yakoun"
1.40526594143359e-07,"m2a","yakoun"
0.999999684190788,"m2b","yakoun"
1.19130251988778e-08,"m3","yakoun"
1.16724682504773e-07,"m4a","yakoun"
4.66419969313847e-08,"m4b","yakoun"
3.06239499011164e-10,"m1","yeo"
7.99908412603427e-07,"m2a","yeo"
1.16079751242126e-07,"m2b","yeo"
0.849270001376445,"m3","yeo"
0.149422232953436,"m4a","yeo"
0.00130684937571623,"m4b","yeo"
